[Epoch 1 | Batch 422] Total IL loss: 1.2358
[Epoch 1 | Batch 423] Total IL loss: 1.0751
[Epoch 1 | Batch 424] Total IL loss: 1.1321
[Epoch 1 | Batch 425] Total IL loss: 1.1794
[Epoch 1 | Batch 426] Total IL loss: 1.2420
[Epoch 1 | Batch 427] Total IL loss: 1.1934
[Epoch 1 | Batch 428] Total IL loss: 1.1802
[Epoch 1 | Batch 429] Total IL loss: 1.1558
[Epoch 1 | Batch 430] Total IL loss: 1.1947
[Epoch 1 | Batch 431] Total IL loss: 1.3737
[Epoch 1 | Batch 432] Total IL loss: 1.1196
[Epoch 1 | Batch 433] Total IL loss: 1.2795
[Epoch 1 | Batch 434] Total IL loss: 1.1655
[Epoch 1 | Batch 435] Total IL loss: 1.1402
[Epoch 1 | Batch 436] Total IL loss: 1.2410
[Epoch 1 | Batch 437] Total IL loss: 1.1414
[Epoch 1 | Batch 438] Total IL loss: 1.1365
[Epoch 1 | Batch 439] Total IL loss: 1.2093
[Epoch 1 | Batch 440] Total IL loss: 1.1269
[Epoch 1 | Batch 441] Total IL loss: 1.2129
[Epoch 1 | Batch 442] Total IL loss: 1.2256
[Epoch 1 | Batch 443] Total IL loss: 1.2072
[Epoch 1 | Batch 444] Total IL loss: 1.1319
[Epoch 1 | Batch 445] Total IL loss: 1.1626
[Epoch 1 | Batch 446] Total IL loss: 1.0878
[Epoch 1 | Batch 447] Total IL loss: 1.0318
[Epoch 1 | Batch 448] Total IL loss: 1.3338
[Epoch 1 | Batch 449] Total IL loss: 1.1540
[Epoch 1 | Batch 450] Total IL loss: 1.1649
[Epoch 1 | Batch 451] Total IL loss: 1.1176
[Epoch 1 | Batch 452] Total IL loss: 1.3556
[Epoch 1 | Batch 453] Total IL loss: 1.1422
[Epoch 1 | Batch 454] Total IL loss: 1.1132
[Epoch 1 | Batch 455] Total IL loss: 1.1258
[Epoch 1 | Batch 456] Total IL loss: 1.2450
[Epoch 1 | Batch 457] Total IL loss: 1.1780
[Epoch 1 | Batch 458] Total IL loss: 1.2383
[Epoch 1 | Batch 459] Total IL loss: 1.0195
[Epoch 1 | Batch 460] Total IL loss: 1.3702
[Epoch 1 | Batch 461] Total IL loss: 1.1718
[Epoch 1 | Batch 462] Total IL loss: 1.0728
[Epoch 1 | Batch 463] Total IL loss: 1.3503
[Epoch 1 | Batch 464] Total IL loss: 1.0837
[Epoch 1 | Batch 465] Total IL loss: 1.1017
[Epoch 1 | Batch 466] Total IL loss: 1.0713
[Epoch 1 | Batch 467] Total IL loss: 1.3264
[Epoch 1 | Batch 468] Total IL loss: 1.0139
[Epoch 1 | Batch 469] Total IL loss: 1.3209
[Epoch 1 | Batch 470] Total IL loss: 1.1796
[Epoch 1 | Batch 471] Total IL loss: 1.0315
[Epoch 1 | Batch 472] Total IL loss: 1.1514
[Epoch 1 | Batch 473] Total IL loss: 1.1683
[Epoch 1 | Batch 474] Total IL loss: 1.0787
[Epoch 1 | Batch 475] Total IL loss: 1.1976
[Epoch 1 | Batch 476] Total IL loss: 1.1206
[Epoch 1 | Batch 477] Total IL loss: 1.2706
[Epoch 1 | Batch 478] Total IL loss: 1.0473
[Epoch 1 | Batch 479] Total IL loss: 1.1852
[Epoch 1 | Batch 480] Total IL loss: 1.1324
[Epoch 1 | Batch 481] Total IL loss: 1.2694
[Epoch 1 | Batch 482] Total IL loss: 1.2645
[Epoch 1 | Batch 483] Total IL loss: 1.0865
[Epoch 1 | Batch 484] Total IL loss: 1.2470
[Epoch 1 | Batch 485] Total IL loss: 1.0549
[Epoch 1 | Batch 486] Total IL loss: 1.1390
[Epoch 1 | Batch 487] Total IL loss: 1.1171
[Epoch 1 | Batch 488] Total IL loss: 1.2901
[Epoch 1 | Batch 489] Total IL loss: 1.0975
[Epoch 1 | Batch 490] Total IL loss: 1.2062
[Epoch 1 | Batch 491] Total IL loss: 1.0855
[Epoch 1 | Batch 492] Total IL loss: 1.1416
[Epoch 1 | Batch 493] Total IL loss: 1.1630
[Epoch 1 | Batch 494] Total IL loss: 1.2059
[Epoch 1 | Batch 495] Total IL loss: 1.1907
[Epoch 1 | Batch 496] Total IL loss: 1.3304
[Epoch 1 | Batch 497] Total IL loss: 1.2026
[Epoch 1 | Batch 498] Total IL loss: 1.2661
[Epoch 1 | Batch 499] Total IL loss: 1.1061
