[Epoch 1 | Batch 460] Total IL loss: 1.1915
[Epoch 1 | Batch 461] Total IL loss: 1.1568
[Epoch 1 | Batch 462] Total IL loss: 1.2163
[Epoch 1 | Batch 463] Total IL loss: 1.2235
[Epoch 1 | Batch 464] Total IL loss: 1.1999
[Epoch 1 | Batch 465] Total IL loss: 1.0904
[Epoch 1 | Batch 466] Total IL loss: 1.2545
[Epoch 1 | Batch 467] Total IL loss: 1.2773
[Epoch 1 | Batch 468] Total IL loss: 1.1749
[Epoch 1 | Batch 469] Total IL loss: 1.0940
[Epoch 1 | Batch 470] Total IL loss: 1.1953
[Epoch 1 | Batch 471] Total IL loss: 1.1662
[Epoch 1 | Batch 472] Total IL loss: 1.3292
[Epoch 1 | Batch 473] Total IL loss: 1.2604
[Epoch 1 | Batch 474] Total IL loss: 1.2097
[Epoch 1 | Batch 475] Total IL loss: 1.1783
[Epoch 1 | Batch 476] Total IL loss: 1.2092
[Epoch 1 | Batch 477] Total IL loss: 1.2260
[Epoch 1 | Batch 478] Total IL loss: 1.2410
[Epoch 1 | Batch 479] Total IL loss: 1.2058
[Epoch 1 | Batch 480] Total IL loss: 1.2790
[Epoch 1 | Batch 481] Total IL loss: 1.1733
[Epoch 1 | Batch 482] Total IL loss: 1.1952
[Epoch 1 | Batch 483] Total IL loss: 1.1747
[Epoch 1 | Batch 484] Total IL loss: 1.0744
[Epoch 1 | Batch 485] Total IL loss: 1.1952
[Epoch 1 | Batch 486] Total IL loss: 1.1403
[Epoch 1 | Batch 487] Total IL loss: 1.2023
[Epoch 1 | Batch 488] Total IL loss: 1.1233
[Epoch 1 | Batch 489] Total IL loss: 1.1734
[Epoch 1 | Batch 490] Total IL loss: 1.1639
[Epoch 1 | Batch 491] Total IL loss: 1.2653
[Epoch 1 | Batch 492] Total IL loss: 1.4743
[Epoch 1 | Batch 493] Total IL loss: 1.2235
[Epoch 1 | Batch 494] Total IL loss: 1.1387
[Epoch 1 | Batch 495] Total IL loss: 1.1607
[Epoch 1 | Batch 496] Total IL loss: 1.1084
[Epoch 1 | Batch 497] Total IL loss: 1.1099
[Epoch 1 | Batch 498] Total IL loss: 1.2966
[Epoch 1 | Batch 499] Total IL loss: 1.0532
